Year,Ticker,Name,Currency,CurrentAssets,AmortizationGoodwill,AccountsPayable,Assets,AverageShortTermRate,BVPS,CapitalizedSoftware,CommonEquity,Cash,CashDelta,CNI,ContingentLiabilities,COGS,CommonSharesIssued,CommonSharesOutstanding,CommonShareholders,CommonCapital,CapitalizedLeases,DebtSeniorConvertible,DebtSubordinatedConvertible,DebtIssuance,DebtTiedtoPrime,Debt,AccumulatedDepreciation,CashDividends,DividendsCommon,DividendsPreferred,Dividends,EBITDA,EBIT,Employees,DilutedEPS,ForeignExchange,FinancingActivities,Goodwill,GoodwillAmortization,Gain/LossPretax,GrossProfit,InvestmentBankingIncome,InvestedCapital,InterestIncome,Intangibles,InterestCapitalized,Inventories,InvestingActivities,CurrentLiabilities,Liabilities,NI,OperatingIncome,PTI,PPEGross,PPENet,PreferredStock,Provisions,RetainedEarnings,Receivables,Revenue,Sales,SaleofCommonStock,Equity,SaleofProperty,IncomeTaxes,NetDeferredTaxAsset,NetDeferredTaxLiability,IncomeTaxesPayable,IncomeTaxesPaid,IncomeTaxRefund,Taxes,PreferredStockatCarryingValue,WorkingCapital,OperatingExpenses,PrepaidExpenses,RetirementExpenses,RDExpenses,SGA Expenses,StaffExpense,Expense,UnderwritingExpense,DividendsperShare,PriceClose,SIC,Industry,State/Province,WebURL
1965,BPOP,Popular Inc,USD,0,0,296.49,340.54,0,28.81,0,28.81,27.02,0,0,0,4.54,0,1,0,10,0,0,0,0,0,0,0,0,0.97,0,0.97,0,0,0,0,0,0,0,0,0,0,0,28.81,0,0,0,0,0,0,308.62,0,0,0,0,0,0,0,6.31,239.33,0,0,0,28.81,0,0,0,0,0,0,0,0.12,0,0,11.06,0,0,0,6.52,0,0,0,1.97,0,6021,National Commercial Banks,PR,www.popular.com
1966,BPOP,Popular Inc,USD,0,0,336.18,382.41,0,27.97,0,30.77,37.83,0,0,0,5.64,0,1.1,0,11,0,0,0,0,0,0,0,0,1.2,0,1.2,0,0,0,0,0,0,0,0,0,0,0,30.77,0,0,0,0,0,0,348.17,0,0,0,0,0,0,0,6.77,245.81,0,0,0,30.77,0,0,0,0,0,0,0,0.12,0,0,13.19,0,0,0,7.55,0,0,0,1.09,0,6021,National Commercial Banks,PR,www.popular.com
1967,BPOP,Popular Inc,USD,0,0,397.43,447.15,0,27.46,0,32.96,44.31,0,0,0,6.86,0,1.2,0,12,0,0,0,0,0,0,0,0,1.32,0,1.32,0,0,0,0,0,0,0,0,0,0,0,32.96,0,0,0,0,0,0,410.05,0,0,0,0,0,0,0,7.46,266.49,0,0,0,32.96,0,0,0,0,0,0,0,0.12,0,0,15.46,0,0,0,8.6,0,0,0,1.1,0,6021,National Commercial Banks,PR,www.popular.com
1968,BPOP,Popular Inc,USD,0,0,471.39,527.91,0,26.82,0,35.4,44.08,0,0,0,9.3,0,1.32,0,13.2,0,0,0,0,0,0,0,0,1.44,0,1.44,0,0,0,0,0,0,0,0,0,0,0,35.4,0,0,0,0,0,0,487.36,0,0,0,0,0,0,0,8.2,312.92,0,0,0,35.4,0,0,0,0,0,0,0,0.12,0,0,20.06,0,0,0,10.76,0,0,0,1.09,0,6021,National Commercial Banks,PR,www.popular.com
1969,BPOP,Popular Inc,USD,0,0,537.76,615.71,0,26.49,0,39.74,68.44,0,0,0,15.76,0,1.5,0,15,0,0,0,0,0,0,0,0,1.62,0,1.62,0,0,0,0,0,0,0,0,0,0,0,51.05,0,0,0,0,0,0,568.16,0,0,0,0,0,0,0,9.74,374,0,0,0,39.74,0,0,0,0,0,0,0,0.12,0,0,28.32,0,0,0,12.56,0,0,0,0.81,54,6021,National Commercial Banks,PR,www.popular.com
1970,BPOP,Popular Inc,USD,0,0,596.18,696.02,0,26.76,0,44.15,68.36,0,0,0,24.49,0,1.65,0,16.5,0,0,0,0,0,11.03,0,0,1.8,0,1.8,12.63,12.63,0,4.04,0,0,0,0,0,30.27,0,55.18,0,0,0,0.83,0,0,644.83,6.67,12.63,6.57,0,0,0,0,11.15,440.92,54.76,54.76,0,44.15,0,0,0,0,0,0,0,0.28,0,0,42.13,0,0,0,17.64,0,0,0,1.39,38.25,6021,National Commercial Banks,PR,www.popular.com
1971,BPOP,Popular Inc,USD,0,0,793.77,910.37,0,28.16,0,52.57,115.75,0,0,0,21.95,0,1.87,0,18.67,0,0,0,0,0,18.36,0,0,2.01,0,2.01,14.91,14.91,0,4.2,0,0,0,0,0,35.98,0,70.92,0,0,0,0.83,0,0,850.77,7.51,14.91,7.79,0,0,0,0,14.57,512.39,57.92,57.92,0,52.57,0,0,0,0,0,0,0,0.53,0,0,43.02,0,0,0,21.07,0,0,0,1.32,35,6021,National Commercial Banks,PR,www.popular.com
1972,BPOP,Popular Inc,USD,0,0,944.81,1134.03,0,29.47,0,58.93,119.21,0,0,0,26.66,0,2,0,20,0,0,0,0,0,16.46,0,0,2.24,0,2.24,16.3,16.3,0,4.3,0,0,0,0,0,39.01,0,75.39,0,0,0,0.78,0,0,1068.02,8.6,16.3,7.92,0,0,0,0,18.93,550.72,65.67,65.67,0,58.93,0,0,0,0,0,0,0,-0.14,0,0,49.37,0,0,0,22.71,0,0,0,1.14,29.25,6021,National Commercial Banks,PR,www.popular.com
1973,BPOP,Popular Inc,USD,0,0,955.46,1138.09,0,30.53,0,67.16,130.31,0,0,0,44.85,0,2.2,0,22,0,0,0,0,0,14.73,0,0,2.4,0,2.4,19.48,19.48,0,3.95,0,0,0,0,0,44.74,0,81.89,0,0,0,0,0,0,1062.91,8.7,19.48,8.83,0,0,0,0,22.65,601.75,89.59,89.59,0,67.16,0,0,0,0,0,0,0,0.13,0,0,70.11,0,0,0,25.26,0,0,0,1.12,23.25,6021,National Commercial Banks,PR,www.popular.com
1974,BPOP,Popular Inc,USD,0,0,904.2,1031.17,0,30.38,0,72.91,209.84,0,0,0,44.67,0,2.4,0,24,0,0,0,0,0,12.72,0,0,2.64,0,2.64,20.09,20.09,0,3.61,0,0,0,0,0,49.96,0,85.63,0,0,0,0,0,0,949.74,8.66,20.09,8.62,0,0,0,0,24.4,595.07,94.62,94.62,0,72.91,0,0,0,0,0,0,0,-0.05,0,0,74.53,0,0,0,29.87,0,0,0,1.13,14.75,6021,National Commercial Banks,PR,www.popular.com
