Year,Ticker,Name,Currency,SharesIssuedforAcquisition,CurrentAssets,Acquisitions,AcquisitionMergerPretax,Assets,BVPS,CommonOrdinaryEquity,Cash,ChangeinCash,COGS,CommonSharesIssued,DebtCapitalizedLease,Debt,Dividends,DividendsCommon,DividendsPreferred,EBITDA,EBIT,Employees,DilutedEPS,BasicEPS,FinancingCash,OperatingCash,GrossProfit,InvestedCapital,Intangibles,InterestCapitalized,InvestingCashFlow,CurrentLiabilities,Liabilities,NI,NonoperatingIncome,OperatingIncomeAfterDepreciation,OperatingIncomeBeforeDepreciation,Volatility,PTI,PPEGross,PPENet,PurchaseStock,PurchaseofCommonStockCash,PreferredStockConvertible,Provisions,RetainedEarnings,Revenue,Equity,SaleofProperty,SaleofCommonandPreferredStock,NetDeferredTaxAsset,NetDeferredTaxLiability,IncomeTaxesPayable,IncomeTaxesPaid,IncomeTaxRefund,IncomeTaxes,AdvertisingExpense,InterestExpense,OperatingExpenses,PensionExpense,RDExpense,SGAExpense,StaffExpense,TotalExpense,CommonShares,PriceClose,SIC
2008,FB,Facebook Inc,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7370
2009,FB,Facebook Inc,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7370
2010,FB,Facebook Inc,USD,0,2246,0,0,2990,1.32,1547,1785,1152,354,1172,117,367,0,0,0,1032,1171,2.127,0.28,0.28,781,0,1620,2529,96,0,-324,389,828,606,-2,1032,1171,46,1008,820,0,0,0,615,0,600,1974,2162,0,506,68,29,0,261,0,402,8,0,803,0,144,449,0,0,0,0,7370
2011,FB,Facebook Inc,USD,0,4604,0,0,6331,3.2211,4284,3908,-273,537,1330,398,398,0,0,0,1756,2079,3.2,0.47,0.47,1198,0,3174,5297,162,0,-3023,899,1432,1000,-19,1756,2079,0,1695,1925,0,0,0,615,0,1600,3711,4899,0,1026,140,80,0,197,0,695,28,0,1632,0,388,1095,0,0,0,0,7370
2012,FB,Facebook Inc,USD,26,11267,0,0,15103,4.9557,11755,9626,872,720,2372,491,1991,0,0,0,538,1182,4.619,0.02,0.02,6283,0,4369,13746,1388,0,-7024,1052,3348,53,7,538,1182,0,494,3273,0,0,0,0,0,1661,5089,11755,0,6777,342,204,0,53,451,441,67,0,3907,0,1399,3187,0,0,8447373941,26.6197,7370
2013,FB,Facebook Inc,USD,9,13070,0,0,17895,6.0738,15470,11449,939,756,2547,237,237,0,0,0,2921,3923,6.337,0.6,0.62,-667,0,7116,15707,1722,0,-2624,1100,2425,1500,6,2921,3923,0,2754,4142,0,0,0,0,0,3173,7872,15470,0,1504,354,201,0,-339,51,1254,117,0,3949,0,1415,3193,0,0,15063899860,54.649,7370
2014,FB,Facebook Inc,USD,178,13670,0,-22,40184,12.9053,36096,11199,992,945,2797,119,119,0,0,0,4982,6224,9.199,1.1,1.12,1571,0,11521,36215,21910,0,-5913,1424,4088,2940,-61,4982,6224,0,4910,5784,0,0,0,0,0,5871,12466,36096,0,18,601,1291,0,178,0,1970,135,0,6242,0,2666,5297,0,0,11930818961,78.02,7370
2015,FB,Facebook Inc,USD,0,21652,0,-69,49407,15.5424,44218,18434,592,917,2845,107,107,0,0,0,6294,8244,12.691,1.29,1.31,1582,0,17011,44325,21272,0,-9434,1925,5189,3688,-8,6294,8244,0,6194,7819,0,0,0,0,0,9332,17928,44218,0,0,1370,1219,0,270,0,2506,281,0,9684,0,4816,8767,0,0,6765514790,104.66,7370
2016,FB,Facebook Inc,USD,0,34401,0,-66,64961,20.4682,59194,29449,3996,1448,2892,112,112,0,0,0,12493,14834,17.048,3.49,3.56,-310,0,26190,59306,20657,0,-11739,2875,5767,10217,101,12493,14834,0,12518,11803,0,0,0,0,0,20967,27638,59194,0,0,2452,1598,0,1210,0,2301,310,0,12804,0,5919,11356,0,0,6401545427,115.05,7370
2017,FB,Facebook Inc,USD,0,48563,0,-105,84524,25.584,74347,41711,-824,2432,2906,72,72,0,0,0,20308,23330,25.105,5.39,5.49,-5235,0,38221,74419,20105,0,-20038,3760,10177,15934,397,20308,23330,0,20594,18337,0,5222,0,0,0,33763,40653,74347,0,0,2268,1019,230,2117,0,4660,324,0,17323,0,7754,14891,0,0,4186775861,176.46,7370
